Region,Animal species,Production system,Commodity,Emission Intensity (kg CO2e per kg protein),Production (kg protein),Total GHG emissions (kg CO2e),Total CO2 emissions (kg CO2e),Total CH4 emissions (kg CO2e),Total N2O emissions (kg CO2e),"Feed, CO2 (kg CO2e)","Feed, CH4 (kg CO2e)","Feed: fertilizer & crop residues, N2O (kg CO2e)","Feed: applied & deposited manure, N2O (kg CO2e)","LUC: soy & palm, CO2 (kg CO2e)","LUC: pasture expansion, CO2 (kg CO2e)","Enteric fermentation, CH4 (kg CO2e)","Manure management, CH4 (kg CO2e)","Manure management, N2O (kg CO2e)","Direct energy, CO2 (kg CO2e)","Indirect energy, CO2 (kg CO2e)","Postfarm, CO2 (kg CO2e)"
Near East and North Africa,Goats,Grassland systems,Meat,240.1,50608417,12151774023,1091428797,5291219456,5769125770,954309660,,287374233,5011047050,3079473,,5111967040,179252416,470704487,28252710,26837740,78949215
Near East and North Africa,Goats,Mixed systems,Aggregated,149,60245686,8974909754,544338472,6536162721,1894408562,353074193,,252411622,996448212,5694659,,6324588649,211574072,645548727,8417765,78919505,98232349
Near East and North Africa,Goats,Mixed systems,Milk,166,31359908,5204267241,289478469,3834455372,1080333400,169098508,,124518344,574833974,4677245,,3718507099,115948273,380981083,1150826,60533383,54018508
Near East and North Africa,Goats,Mixed systems,Meat,130.5,28885778,3770642513,254860003,2701707348,814075161,183975685,,127893279,421614239,1017414,,2606081550,95625799,264567644,7266940,18386123,44213842
Near East and North Africa,Pigs,Aggregated,Meat,68.8,42254201,2905745735,1685670520,687475993,532599223,880076658,344362593,112219911,147133673,596127788,,75686308,267427092,273245638,55673837,2886849,150905389
Near East and North Africa,Pigs,Backyard systems,Meat,31.9,6062804,193678040,40738905,90270674,62668461,40502705,775255,18335889,3535964,,,17625030,71870389,40796608,,236200,
Near East and North Africa,Pigs,Intermediate systems,Meat,57.2,6370718,364167229,201900621,91577933,70688675,127172091,40690995,19796551,7818466,46145435,,12180496,38706442,43073657,3299382,950077,24333636
Near East and North Africa,Pigs,Industrial systems,Meat,78.7,29820679,2347900466,1443030994,505627386,399242087,712401861,302896344,74087471,135779242,549982353,,45880781,156850260,189375373,52374455,1700572,126571752
Near East and North Africa,Chicken,Aggregated,Aggregated,31.8,1362693952,43285997467,31368004879,1649814057,10268178532,11736047008,24788039,4044564507,4135504296,11823008255,,,1625026017,2088109729,3826165781,371198955,3611584880
Near East and North Africa,Chicken,Aggregated,Eggs,23.5,448338491,10520502075,6370529233,1147866398,3002106444,2919556753,17023357,1039449291,1077363972,2164387385,,,1130843041,885293181,540707233,15994070,729883791
Near East and North Africa,Chicken,Aggregated,Meat,35.8,914355461,32765495393,24997475646,501947659,7266072088,8816490254,7764682,3005115217,3058140323,9658620870,,,494182977,1202816548,3285458548,355204885,2881701089
Near East and North Africa,Chicken,Backyard systems,Aggregated,17,60129377,1024578023,188913736,86599175,749065112,188913736,24788039,148821624,30081544,,,,61811136,570161944,,,
Near East and North Africa,Chicken,Backyard systems,Eggs,15.4,47085177,723346090,132832457,60074322,530439311,132832457,17023357,104603649,20995281,,,,43050964,404840381,,,
Near East and North Africa,Chicken,Backyard systems,Meat,23.1,13044200,301231933,56081279,26524853,218625801,56081279,7764682,44217975,9086263,,,,18760172,165321563,,,
Near East and North Africa,Chicken,Layers,Aggregated,26.4,451238937,11905208104,7614309644,1271089324,3019809136,3357743335,,1122862635,1310526865,2663967698,,,1271089324,586419636,679509392,25088665,888000554
Near East and North Africa,Chicken,Layers,Eggs,24.4,401253314,9797155985,6237696776,1087792076,2471667133,2786724296,,934845642,1056368691,2164387385,,,1087792076,480452800,540707233,15994070,729883791
Near East and North Africa,Chicken,Layers,Meat,42.2,49985623,2108052119,1376612869,183297248,548142003,571019038,,188016994,254158173,499580313,,,183297248,105966836,138802159,9094595,158116764
Near East and North Africa,Chicken,Broilers,Aggregated,35.7,851325637,30356211340,23564781499,292125557,6499304284,8189389937,,2772880248,2794895887,9159040557,,,292125557,931528149,3146656390,346110290,2723584325
Near East and North Africa,Chicken,Broilers,Meat,35.7,851325637,30356211340,23564781499,292125557,6499304284,8189389937,,2772880248,2794895887,9159040557,,,292125557,931528149,3146656390,346110290,2723584325
North America,Cattle,Aggregated,Aggregated,94.6,4946002847,4.67756E+11,70515033250,2.9279E+11,1.04451E+11,23592428039,,16640707258,63276272687,155347196,,2.37567E+11,55223278515,24533999956,11193463861,4342067277,31231726877
North America,Cattle,Aggregated,Milk,56.9,2893265442,1.64586E+11,41601425572,1.04381E+11,18603298308,7001570929,,5121662935,8961262024,81954742,,64373062035,40008285746,4520373349,6234038931,714297141,27569563830
North America,Cattle,Aggregated,Meat,147.7,2052737405,3.0317E+11,28913607678,1.88409E+11,85847681593,16590857111,,11519044323,54315010663,73392454,,1.73194E+11,15214992769,20013626607,4959424930,3627770136,3662163047
North America,Cattle,Grassland systems,Aggregated,105.3,1848976675,1.94695E+11,26841078503,1.22174E+11,45679708975,8373489979,,5677675618,31405189691,79413645,,96959906957,25213963132,8596843666,3885000933,1030349655,13472824291
North America,Cattle,Grassland systems,Milk,59.1,1366691601,80789862360,19550750868,51133539716,10105571777,3458576347,,2370094480,5760777052,41563554,,31285649593,19847890122,1974700244,2882236322,303915195,12864459450
North America,Cattle,Grassland systems,Meat,236.2,482285074,1.13905E+11,7290327635,71040330373,35574137199,4914913632,,3307581138,25644412639,37850091,,65674257364,5366073009,6622143421,1002764611,726434460,608364841
North America,Cattle,Mixed systems,Aggregated,95.5,2042614590,1.95034E+11,28802810049,1.27818E+11,38413624514,7400256979,,5862244857,22798953713,56947303,,1.02062E+11,25755888983,9752425944,4679914798,1314511303,15351179665
North America,Cattle,Mixed systems,Milk,54.9,1526573841,83796209300,22050674704,53247808065,8497726531,3542994582,,2751568454,3200484972,40391188,,33087412442,20160395623,2545673104,3351802609,410381945,14705104380
North America,Cattle,Mixed systems,Meat,215.6,516040749,1.11238E+11,6752135345,74570195470,29915897984,3857262397,,3110676403,19598468742,16556115,,68974702110,5595493359,7206752839,1328112189,904129358,646075285
North America,Cattle,Feedlots,Aggregated,74,1054411582,78026875201,14871144698,42798084092,20357646411,7818681081,,5100786783,9072129282,18986248,,38544657692,4253426400,6184730347,2628548130,1997206318,2407722921
North America,Cattle,Feedlots,Meat,74,1054411582,78026875201,14871144698,42798084092,20357646411,7818681081,,5100786783,9072129282,18986248,,38544657692,4253426400,6184730347,2628548130,1997206318,2407722921
North America,Buffaloes,Aggregated,Aggregated,60.1,7024894,422118699,107953705,268789530,45375464,38485341,,18465040,1615659,772513,,248159591,20629939,25294766,6210765,2800580,59684506
North America,Buffaloes,Aggregated,Milk,60.2,5788433,348481175,94294107,218082685,36104383,29651257,,14307747,1248539,577009,,201185899,16896786,20548097,6013381,458544,57593916
North America,Buffaloes,Aggregated,Meat,59.6,1236461,73637524,13659597,50706845,9271082,8834084,,4157292,367120,195504,,46973692,3733153,4746669,197384,2342036,2090590
North America,Buffaloes,Grassland systems,Aggregated,60.4,2756737,166423983,42652059,105469668,18302256,15435961,,7174578,1215495,302818,,97383764,8085904,9912183,2437253,1054399,23421629
North America,Buffaloes,Grassland systems,Milk,60.5,2271520,137385681,37263997,85572585,14549098,11904159,,5558307,938850,226174,,78950163,6622422,8051941,2359794,172639,22601231
North America,Buffaloes,Grassland systems,Meat,59.8,485217,29038302,5388061,19897083,3753157,3531802,,1616271,276645,76644,,18433601,1463482,1860242,77458,881760,820398
North America,Buffaloes,Mixed systems,Aggregated,59.9,4268157,255694716,65301646,163319862,27073208,23049381,,11290462,400163,469695,,150775826,12544035,15382583,3773512,1746181,36262877
North America,Buffaloes,Mixed systems,Milk,60,3516913,211095494,57030110,132510100,21555284,17747098,,8749440,309688,350835,,122235736,10274364,12496155,3653586,285906,34992684
North America,Buffaloes,Mixed systems,Meat,59.4,751244,44599222,8271536,30809762,5517924,5302282,,2541021,90475,118860,,28540091,2269671,2886428,119926,1460276,1270193
North America,Sheep,Aggregated,Aggregated,217.2,9801088,2128659042,235678916,1205788966,687191161,154568914,,121985380,509195884,261765,,1161617261,44171705,56009896,37408022,7224516,36215700
North America,Sheep,Aggregated,Milk,0,,,,,,,,,,,,,,,,,
North America,Sheep,Aggregated,Meat,217.2,9801088,2128659042,235678916,1205788966,687191161,154568914,,121985380,509195884,261765,,1161617261,44171705,56009896,37408022,7224516,36215700
North America,Sheep,Grassland systems,Aggregated,221.7,8577043,1901816781,209328914,1053559078,638928789,138308636,,107614993,482674014,241882,,1015810953,37748124,48639782,32757649,6350585,31670162
North America,Sheep,Grassland systems,Milk,0,,,,,,,,,,,,,,,,,
North America,Sheep,Grassland systems,Meat,221.7,8577043,1901816781,209328914,1053559078,638928789,138308636,,107614993,482674014,241882,,1015810953,37748124,48639782,32757649,6350585,31670162
North America,Sheep,Mixed systems,Aggregated,185.3,1224045,226842261,26350001,152229888,48262371,16260278,,14370387,26521870,19882,,145806308,6423580,7370114,4650373,873930,4545538
North America,Sheep,Mixed systems,Milk,0,,,,,,,,,,,,,,,,,
North America,Sheep,Mixed systems,Meat,185.3,1224045,226842261,26350001,152229888,48262371,16260278,,14370387,26521870,19882,,145806308,6423580,7370114,4650373,873930,4545538
North America,Goats,Aggregated,Aggregated,88.2,11341774,999906697,165175605,625221009,209510083,93273521,,76098499,105595804,65461,,593851649,31369360,27815780,18339782,28444518,25052323
North America,Goats,Aggregated,Milk,52.7,5287470,278585263,46719459,179881887,51983917,26741357,,20562320,23786503,22946,,172024123,7857764,7635094,254198,19700958,
North America,Goats,Aggregated,Meat,119.1,6054304,721321434,118456146,445339122,157526166,66532164,,55536179,81809301,42515,,421827526,23511596,20180686,18085584,8743560,25052323
North America,Goats,Grassland systems,Aggregated,89.5,6753398,604091981,100963995,372328310,130799676,58293921,,47133555,67118803,38950,,353623730,18704580,16547318,10918972,16795544,14916609
North America,Goats,Grassland systems,Milk,53.4,3148555,168092321,28482301,107121754,32488266,16672039,,12742728,15202799,13655,,102436041,4685712,4542739,149578,11647030,
North America,Goats,Grassland systems,Meat,120.9,3604842,435999660,72481694,265206556,98311410,41621882,,34390827,51916004,25295,,251187689,14018867,12004579,10769394,5148514,14916609
North America,Goats,Mixed systems,Aggregated,86.3,4588376,395814716,64211610,252892699,78710407,34979600,,28964944,38477000,26512,,240227919,12664780,11268463,7420810,11648974,10135714
North America,Goats,Mixed systems,Milk,51.7,2138915,110492942,18237158,72760133,19495651,10069318,,7819592,8583704,9292,,69588082,3172052,3092356,104620,8053928,
North America,Goats,Mixed systems,Meat,116.5,2449461,285321773,45974452,180132566,59214755,24910282,,21145352,29893297,17220,,170639837,9492729,8176107,7316190,3595046,10135714
North America,Pigs,Aggregated,Meat,36.5,1742059130,63621820271,26556491128,26610635631,10454693512,15199156513,,5787964815,2166712050,175433250,,2547484982,24063150649,2500016647,3508713971,1018952920,6654234475
North America,Pigs,Backyard systems,Meat,0,,,,,,,,,,,,,,,,,
North America,Pigs,Intermediate systems,Meat,0,,,,,,,,,,,,,,,,,
North America,Pigs,Industrial systems,Meat,36.5,1742059130,63621820271,26556491128,26610635631,10454693512,15199156513,,5787964815,2166712050,175433250,,2547484982,24063150649,2500016647,3508713971,1018952920,6654234475
North America,Chicken,Aggregated,Aggregated,20.2,3367068705,68043702139,43256862696,3520174004,21266665439,22705726145,,7995892532,8858448722,329732398,,,3520174004,4412324185,9602130363,1878924879,8740348911
North America,Chicken,Aggregated,Eggs,16.4,745331592,12260114963,5645773963,2207865584,4406475416,3704832458,,1527411657,1693008477,42993775,,,2207865584,1186055281,916857221,28436359,952654150
North America,Chicken,Aggregated,Meat,21.3,2621737113,55783587176,37611088733,1312308420,16860190023,19000893687,,6468480875,7165440244,286738623,,,1312308420,3226268904,8685273142,1850488520,7787694761
North America,Chicken,Backyard systems,Aggregated,0,,,,,,,,,,,,,,,,,
North America,Chicken,Backyard systems,Eggs,0,,,,,,,,,,,,,,,,,
North America,Chicken,Backyard systems,Meat,0,,,,,,,,,,,,,,,,,
North America,Chicken,Layers,Aggregated,16.5,770300070,12706303078,5872866190,2278625085,4554811803,3827446168,,1577763610,1751898529,44489494,,,2278625085,1225149663,946124577,29384423,1025421528
North America,Chicken,Layers,Eggs,16.4,745331592,12260114963,5645773963,2207865584,4406475416,3704832458,,1527411657,1693008477,42993775,,,2207865584,1186055281,916857221,28436359,952654150
North America,Chicken,Layers,Meat,17.9,24968478,446188115,227092227,70759501,148336387,122613709,,50351953,58890052,1495719,,,70759501,39094382,29267356,948064,72767378
North America,Chicken,Broilers,Aggregated,21.3,2596768635,55337399061,37383996506,1241548919,16711853636,18878279977,,6418128921,7106550192,285242904,,,1241548919,3187174522,8656005786,1849540456,7714927383
North America,Chicken,Broilers,Meat,21.3,2596768635,55337399061,37383996506,1241548919,16711853636,18878279977,,6418128921,7106550192,285242904,,,1241548919,3187174522,8656005786,1849540456,7714927383
Oceania,Cattle,Aggregated,Aggregated,102.4,1183635557,1.21153E+11,20350254096,63976261269,36826955185,7892576733,,6077980761,30457063438,1539321161,,60312886282,3663374987,291910986,2573269146,701779156,7643307900
Oceania,Cattle,Aggregated,Milk,57,799340312,45556225152,12007527754,21799505463,11749191935,3141120237,,2821439638,8868732965,404533247,,19674977403,2124528059,59019332,1463939926,101612229,6896322115
Oceania,Cattle,Aggregated,Meat,196.7,384295245,75597245397,8342726342,42176755806,25077763250,4751456496,,3256541123,21588330473,1134787914,,40637908878,1538846928,232891653,1109329220,600166928,746985785
Oceania,Cattle,Grassland systems,Aggregated,106.2,651100643,69132729519,10588090052,36412160216,22132479251,3769873742,,3030085757,19058354880,728341167,,34375363095,2036797121,44038614,1388413018,356554238,4344907888
Oceania,Cattle,Grassland systems,Milk,56.7,448224127,25416060788,6753117167,12109974149,6552969473,1624826145,,1476440710,5043930829,268643396,,10942544724,1167429425,32597933,837070415,54058975,3968518237
Oceania,Cattle,Grassland systems,Meat,215.5,202876517,43716668730,3834972885,24302186067,15579509778,2145047597,,1553645046,14014424051,459697771,,23432818371,869367697,11440681,551342603,302495263,376389651
Oceania,Cattle,Mixed systems,Aggregated,95.9,493317882,47324661359,8928309790,25225335455,13171016115,3677604579,,2806272314,10328864750,754951926,,23673636743,1551698712,35879050,1029948132,291540555,3174264597
Oceania,Cattle,Mixed systems,Milk,57.4,351116185,20140164363,5254410587,9689531314,5196222462,1516294093,,1344998927,3824802136,135889851,,8732432679,957098635,26421399,626869511,47553254,2927803878
Oceania,Cattle,Mixed systems,Meat,191.2,142201697,27184496996,3673899203,15535804141,7974793652,2161310487,,1461273386,6504062614,619062075,,14941204064,594600077,9457651,403078621,243987301,246460719
Oceania,Cattle,Feedlots,Aggregated,119.7,39217031,4696079671,833854255,2338765598,1523459819,445098412,,241622690,1069843808,56028068,,2263886443,74879154,211993321,154907996,53684363,124135415
Oceania,Cattle,Feedlots,Meat,119.7,39217031,4696079671,833854255,2338765598,1523459819,445098412,,241622690,1069843808,56028068,,2263886443,74879154,211993321,154907996,53684363,124135415
Oceania,Buffaloes,Aggregated,Aggregated,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Aggregated,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Aggregated,Meat,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Grassland systems,Aggregated,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Grassland systems,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Grassland systems,Meat,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Mixed systems,Aggregated,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Mixed systems,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Buffaloes,Mixed systems,Meat,0,,,,,,,,,,,,,,,,,
Oceania,Sheep,Aggregated,Aggregated,120.4,200052218,24092315152,3235591534,14604412923,6252310694,1168996140,,1251419177,5000891517,43728009,,14184583068,419829855,,759353119,116659231,1146855035
Oceania,Sheep,Aggregated,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Sheep,Aggregated,Meat,120.4,200052218,24092315152,3235591534,14604412923,6252310694,1168996140,,1251419177,5000891517,43728009,,14184583068,419829855,,759353119,116659231,1146855035
Oceania,Sheep,Grassland systems,Aggregated,125.3,82444481,10327024345,1438948095,6011043927,2877032324,614333553,,598292992,2278739331,17691346,,5842702600,168341327,,308509060,48494321,449919814
Oceania,Sheep,Grassland systems,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Sheep,Grassland systems,Meat,125.3,82444481,10327024345,1438948095,6011043927,2877032324,614333553,,598292992,2278739331,17691346,,5842702600,168341327,,308509060,48494321,449919814
Oceania,Sheep,Mixed systems,Aggregated,117,117607737,13765290806,1796643440,8593368996,3375278371,554662587,,653126185,2722152186,26036663,,8341880468,251488528,,450844058,68164910,696935221
Oceania,Sheep,Mixed systems,Milk,0,,,,,,,,,,,,,,,,,
Oceania,Sheep,Mixed systems,Meat,117,117607737,13765290806,1796643440,8593368996,3375278371,554662587,,653126185,2722152186,26036663,,8341880468,251488528,,450844058,68164910,696935221
Oceania,Goats,Aggregated,Aggregated,130.8,6385131,835327172,119078085,512355727,203893359,34939966,,25506696,178386663,2053004,,496022286,16333441,,28709255,8377536,44998325
Oceania,Goats,Aggregated,Milk,232.5,1999,464673,11237,350121,103315,6420,,2927,100388,639,,338428,11692,,378,3800,
Oceania,Goats,Aggregated,Meat,130.8,6383132,834862499,119066848,512005607,203790044,34933545,,25503769,178286275,2052366,,495683857,16321749,,28708876,8373736,44998325
Oceania,Goats,Grassland systems,Aggregated,131.8,4468920,589106287,83236320,357859001,148010966,24458536,,15666261,132344705,1425292,,346366791,11492210,,20042972,5796313,31513207
Oceania,Goats,Grassland systems,Milk,234.7,1283,301155,7146,224530,69480,4211,,1852,67627,410,,217209,7320,,255,2270,
Oceania,Goats,Grassland systems,Meat,131.8,4467637,588805132,83229175,357634471,147941486,24454325,,15664409,132277078,1424882,,346149581,11484890,,20042717,5794043,31513207
Oceania,Goats,Mixed systems,Aggregated,128.5,1916210,246220884,35841765,154496726,55882393,10481429,,9840435,46041958,627712,,149655495,4841231,,8666283,2581223,13485118
Oceania,Goats,Mixed systems,Milk,228.4,716,163518,4091,125591,33836,2210,,1075,32761,229,,121219,4372,,123,1530,
Oceania,Goats,Mixed systems,Meat,128.5,1915494,246057367,35837674,154371135,55848558,10479220,,9839360,46009198,627483,,149534276,4836859,,8666159,2579694,13485118
Oceania,Pigs,Aggregated,Meat,81.3,80725723,6560826092,2019826053,4047697467,493302572,597705732,1211898,221146433,60830156,995395231,,171343173,3875142396,211325983,156904416,31463822,238356851
Oceania,Pigs,Backyard systems,Meat,92.3,27509668,2538419757,46460744,2290782220,201176793,44459110,894284,33704363,52692933,,,87610507,2202277428,114779497,,2001634,
Oceania,Pigs,Intermediate systems,Meat,85.8,1683662,144509511,29392922,103505837,11610752,18061758,317614,4548308,3211786,6004648,,3387070,99801153,3850657,871965,,4454550
Oceania,Pigs,Industrial systems,Meat,75.3,51532393,3877896824,1943972387,1653409410,280515027,535184864,,182893762,4925436,989390583,,80345595,1573063815,92695829,156032451,29462188,233902301
Oceania,Chicken,Aggregated,Aggregated,32.9,141457420,4649337457,3638727684,93638588,916971185,1264698656,782360,397608390,315615881,1385335274,,,92856228,203746915,457804170,83590470,447299115
Oceania,Chicken,Aggregated,Eggs,21.4,24030212,513439571,308196087,27886198,177357285,200127993,502500,67964770,53959836,29443817,,,27383698,55432680,34224163,419433,43980681
Oceania,Chicken,Aggregated,Meat,35.2,117427208,4135897887,3330531596,65752390,739613900,1064570663,279860,329643620,261656045,1355891457,,,65472530,148314235,423580006,83171036,403318434
Oceania,Chicken,Backyard systems,Aggregated,24.2,905831,21927499,5391707,2695546,13840246,5391707,782360,2775371,3268005,,,,1913186,7796869,,,
Oceania,Chicken,Backyard systems,Eggs,20.7,686481,14204722,3479887,1726586,8998250,3479887,502500,1790549,2118471,,,,1224086,5089229,,,
Oceania,Chicken,Backyard systems,Meat,35.2,219351,7722777,1911820,968960,4841996,1911820,279860,984822,1149534,,,,689101,2707641,,,
Oceania,Chicken,Layers,Aggregated,21.7,25227344,546522888,333408292,28615476,184499120,213742281,,71237249,58276299,31902262,,,28615476,54985573,37377569,468950,49917230
Oceania,Chicken,Layers,Eggs,21.4,23343732,499234849,304716201,26159613,168359035,196648107,,66174220,51841364,29443817,,,26159613,50343451,34224163,419433,43980681
Oceania,Chicken,Layers,Meat,25.1,1883613,47288039,28692091,2455863,16140085,17094174,,5063029,6434934,2458445,,,2455863,4642122,3153406,49517,5936549
Oceania,Chicken,Broilers,Aggregated,35.4,115324245,4080887071,3299927685,62327566,718631819,1045564668,,323595770,254071577,1353433012,,,62327566,140964473,420426601,83121520,397381885
Oceania,Chicken,Broilers,Meat,35.4,115324245,4080887071,3299927685,62327566,718631819,1045564668,,323595770,254071577,1353433012,,,62327566,140964473,420426601,83121520,397381885
Russian Federation,Cattle,Aggregated,Aggregated,59.5,1107404451,65924869113,14321050245,39209291692,12394527175,8957701395,,1692804141,7508467023,962635859,,37621461693,1587829999,3193256011,1425698181,531262569,2443752242
Russian Federation,Cattle,Aggregated,Milk,48.5,856587087,41580488848,7560507979,26180184102,7839796767,3724380785,,745302040,5250892866,168436983,,25072927538,1107256564,1843601861,1310967873,150053358,2206668980
Russian Federation,Cattle,Aggregated,Meat,97.1,250817365,24344380265,6760542266,13029107590,4554730408,5233320610,,947502100,2257574158,794198876,,12548534155,480573436,1349654150,114730308,381209211,237083261
Russian Federation,Cattle,Grassland systems,Aggregated,59.2,487407716,28872978357,5658233988,17599284715,5615459653,3587821421,,660090236,3576294959,342444407,,16891872625,707412090,1379074458,552993683,99393016,1075581461
Russian Federation,Cattle,Grassland systems,Milk,47.8,377014157,18028294416,2729744740,11841227965,3457321711,1221946162,,241651235,2427496735,,,11341995577,499232388,788173740,508492585,28073229,971232764
Russian Federation,Cattle,Grassland systems,Meat,98.2,110393559,10844683941,2928489248,5758056750,2158137943,2365875259,,418439001,1148798224,342444407,,5549877048,208179702,590900717,44501099,71319787,104348697
Russian Federation,Cattle,Mixed systems,Aggregated,59.8,619996736,37051890756,8662816257,21610006977,6779067522,5369879974,,1032713904,3932172064,620191452,,20729589068,880417909,1814181553,872704497,431869553,1368170781
Russian Federation,Cattle,Mixed systems,Milk,49.1,479572930,23552194431,4830763239,14338956136,4382475056,2502434623,,503650805,2823396130,168436983,,13730931961,608024176,1055428120,802475289,121980129,1235436216
Russian Federation,Cattle,Mixed systems,Meat,96.1,140423805,13499696324,3832053018,7271050841,2396592465,2867445351,,529063099,1108775934,451754469,,6998657107,272393734,758753433,70229209,309889424,132734565
Russian Federation,Cattle,Feedlots,Aggregated,0,,,,,,,,,,,,,,,,,
Russian Federation,Cattle,Feedlots,Meat,0,,,,,,,,,,,,,,,,,
Russian Federation,Buffaloes,Aggregated,Aggregated,246,98976,24348937,2448954,17421674,4478310,1975999,,237975,2452637,261145,,17000352,421322,1787698,83163,42502,86145
Russian Federation,Buffaloes,Aggregated,Milk,0,,,,,,,,,,,,,,,,,
Russian Federation,Buffaloes,Aggregated,Meat,246,98976,24348937,2448954,17421674,4478310,1975999,,237975,2452637,261145,,17000352,421322,1787698,83163,42502,86145
Russian Federation,Buffaloes,Grassland systems,Aggregated,245.4,97635,23964498,2406235,17185216,4373047,1941196,,233862,2375873,257593,,16770046,415170,1763312,81721,40748,84978
Russian Federation,Buffaloes,Grassland systems,Milk,0,,,,,,,,,,,,,,,,,
Russian Federation,Buffaloes,Grassland systems,Meat,245.4,97635,23964498,2406235,17185216,4373047,1941196,,233862,2375873,257593,,16770046,415170,1763312,81721,40748,84978
Russian Federation,Buffaloes,Mixed systems,Aggregated,286.7,1341,384440,42719,236458,105263,34802,,4113,76764,3552,,230306,6152,24386,1443,1755,1167
Russian Federation,Buffaloes,Mixed systems,Milk,0,,,,,,,,,,,,,,,,,
Russian Federation,Buffaloes,Mixed systems,Meat,286.7,1341,384440,42719,236458,105263,34802,,4113,76764,3552,,230306,6152,24386,1443,1755,1167
Russian Federation,Sheep,Aggregated,Aggregated,166.5,23205624,3864118785,318689194,2649140124,896289467,191396980,,45494864,664383193,3137896,,2539828251,109311873,186411409,51015233,18784569,54354516
Russian Federation,Sheep,Aggregated,Milk,104.5,60578,6328540,738224,4272001,1318314,536549,,109836,896840,42235,,4115040,156961,311638,9662,149779,
Russian Federation,Sheep,Aggregated,Meat,166.7,23145046,3857790245,317950970,2644868123,894971153,190860431,,45385028,663486354,3095661,,2535713211,109154911,186099771,51005571,18634790,54354516
Russian Federation,Sheep,Grassland systems,Aggregated,170.8,10873755,1856783417,152280182,1238891786,465611449,92773803,,22619631,355739925,1469046,,1190119721,48772065,87251894,23904776,8662968,25469589
Russian Federation,Sheep,Grassland systems,Milk,107.2,28386,3042926,344409,1998274,700242,258254,,53480,500864,19776,,1928237,70038,145898,4461,61919,
Russian Federation,Sheep,Grassland systems,Meat,170.9,10845369,1853740491,151935772,1236893512,464911207,92515549,,22566151,355239060,1449270,,1188191484,48702028,87105996,23900315,8601049,25469589
Russian Federation,Sheep,Mixed systems,Aggregated,162.8,12331869,2007335367,166409012,1410248338,430678017,98623176,,22875233,308643269,1668850,,1349708530,60539807,99159515,27110458,10121601,28884927
Russian Federation,Sheep,Mixed systems,Milk,102.1,32192,3285613,393815,2273727,618071,278294,,56356,395975,22459,,2186803,86924,165740,5202,87860,
Russian Federation,Sheep,Mixed systems,Meat,162.9,12299677,2004049754,166015197,1407974611,430059946,98344882,,22818877,308247293,1646391,,1347521727,60452884,98993775,27105256,10033741,28884927
Russian Federation,Goats,Aggregated,Aggregated,53.9,12089923,651495868,104780762,429857600,116857506,57099060,,11511973,77167857,4414293,,413938681,15918920,28177676,1484389,31539051,10243970
Russian Federation,Goats,Aggregated,Milk,54.8,8508137,466143820,73674174,311779093,80690553,43016690,,8519161,50531657,3674695,,301146205,10632887,21639735,464999,26517789,
Russian Federation,Goats,Aggregated,Meat,51.7,3581786,185352048,31106588,118078508,36166953,14082370,,2992812,26636200,739597,,112792475,5286032,6537941,1019389,5021262,10243970
Russian Federation,Goats,Grassland systems,Aggregated,54.5,5649430,307913751,49307713,200618111,57987926,28620083,,5701728,39174526,2056576,,193427006,7191106,13111672,689848,13154361,4786845
Russian Federation,Goats,Grassland systems,Milk,55.3,3975718,219965830,34314950,145524833,40126048,21470393,,4199957,25850339,1712128,,140720864,4803969,10075752,213707,10918722,
Russian Federation,Goats,Grassland systems,Meat,52.5,1673712,87947920,14992763,55093279,17861878,7149690,,1501771,13324187,344448,,52706142,2387137,3035920,476141,2235639,4786845
Russian Federation,Goats,Mixed systems,Aggregated,53.3,6440493,343582118,55473049,229239489,58869580,28478977,,5810245,37993331,2357717,,220511675,8727814,15066004,794540,18384690,5457125
Russian Federation,Goats,Mixed systems,Milk,54.3,4532419,246177990,39359224,166254260,40564506,21546297,,4319204,24681318,1962568,,160425342,5828918,11563984,251292,15599067,
Russian Federation,Goats,Mixed systems,Meat,51,1908074,97404128,16113824,62985229,18305074,6932680,,1491041,13312013,395149,,60086333,2898896,3502021,543248,2785622,5457125
Russian Federation,Pigs,Aggregated,Meat,36.1,310066948,11189744106,6464121685,2150995761,2574626660,4492852556,7130344,725349061,433652680,927642198,,580552662,1563312755,1415624919,341156705,76227213,626243013
Russian Federation,Pigs,Backyard systems,Meat,42.3,75007746,3176105663,962472713,1254549508,959083442,960282165,5319098,237586352,186333186,,,206866469,1042363942,535163905,,2190548,
Russian Federation,Pigs,Intermediate systems,Meat,35.3,14575668,514179661,318453047,72624215,123102399,227245006,1811247,38165345,18425176,48514480,,28510455,42302513,66511878,7548708,269443,34875411
